1.66348 2.19854 2.43123 2.55894 2.64154 2.70122 2.74775 2.78602 2.81877 2.84762 2.87361 2.89743 2.91956 2.94035 2.96003 2.9788 2.9968 3.01414 3.0309 3.04716 3.06297 3.07836 3.09339 3.10807 3.12243 3.13648 3.15023 3.16369 3.17686 3.18974 3.20233 3.2146 3.22655 3.23814 3.24934 3.2601 3.27035 3.28 3.28892 3.29696 3.30386 3.30928 3.31267 3.3132 3.30944 3.29885 3.27632 3.2302 3.12898 2.86852 
1.09076 1.69878 2.03933 2.24718 2.38606 2.48618 2.56283 2.62428 2.67537 2.71908 2.75733 2.79144 2.82231 2.8506 2.87678 2.90123 2.92421 2.94594 2.96659 2.9863 3.00516 3.02327 3.04068 3.05747 3.07366 3.08929 3.10438 3.11894 3.13298 3.14649 3.15946 3.17186 3.18366 3.1948 3.20521 3.21479 3.22341 3.2309 3.23702 3.24145 3.24371 3.24315 3.23877 3.22904 3.21145 3.18168 3.13181 3.04608 2.89135 2.59802 
0.788277 1.34965 1.72276 1.975 2.15316 2.28512 2.38717 2.46905 2.53677 2.59421 2.64397 2.68782 2.72704 2.76254 2.79501 2.82496 2.85279 2.87881 2.90326 2.92634 2.94821 2.96898 2.98875 3.00762 3.02562 3.04282 3.05924 3.0749 3.08981 3.10396 3.11732 3.12988 3.14156 3.15229 3.16197 3.17045 3.17756 3.18303 3.18654 3.18763 3.18565 3.1797 3.16845 3.14991 3.12096 3.07658 3.00835 2.90188 2.73313 2.468 
0.611694 1.1059 1.47426 1.74485 1.94672 2.1014 2.22339 2.32229 2.40445 2.47416 2.53441 2.58729 2.63432 2.67664 2.71508 2.75031 2.7828 2.81296 2.8411 2.86747 2.89226 2.91564 2.93773 2.95863 2.97842 2.99717 3.01491 3.03166 3.04744 3.06224 3.07603 3.08877 3.10038 3.11077 3.1198 3.1273 3.13303 3.1367 3.13787 3.13599 3.1303 3.11973 3.10276 3.0772 3.03979 2.9856 2.90722 2.79364 2.63023 2.40327 
0.499392 0.932048 1.28043 1.55338 1.76703 1.93634 2.07295 2.18533 2.27952 2.35983 2.42938 2.49042 2.54463 2.59329 2.63735 2.67756 2.71449 2.74862 2.78031 2.80984 2.83747 2.86338 2.88772 2.91062 2.93217 2.95244 2.97148 2.98933 3.00599 3.02146 3.0357 3.04866 3.06026 3.07039 3.07888 3.08553 3.09008 3.09217 3.09133 3.08694 3.07815 3.06384 3.04242 3.01171 2.96863 2.90888 2.82658 2.71422 2.56389 2.37173 
0.42286 0.804511 1.12844 1.395 1.61223 1.78978 1.93632 2.05883 2.16265 2.25184 2.32942 2.39769 2.45839 2.51284 2.5621 2.60696 2.64808 2.68597 2.72104 2.75361 2.78397 2.81232 2.83885 2.86369 2.88696 2.90873 2.92906 2.948 2.96555 2.98171 2.99643 3.00967 3.02133 3.03128 3.03935 3.04532 3.04889 3.04968 3.04719 3.04077 3.02955 3.01239 2.98777 2.95367 2.90738 2.84541 2.76346 2.65679 2.52167 2.35854 
0.367807 0.70826 1.00795 1.26393 1.47953 1.66059 1.81324 1.94293 2.05417 2.15056 2.23492 2.30945 2.37589 2.43557 2.48957 2.53874 2.58376 2.62518 2.66345 2.69891 2.73188 2.76258 2.79122 2.81795 2.84288 2.86612 2.88773 2.90775 2.9262 2.94307 2.95832 2.9719 2.98369 2.99357 3.00136 3.00681 3.00963 3.00941 3.00565 2.99769 2.98469 2.96556 2.9389 2.90293 2.85542 2.79369 2.71474 2.61585 2.49567 2.35623 
0.326506 0.633711 0.911182 1.15498 1.36588 1.54716 1.70296 1.83738 1.95408 2.05613 2.14606 2.22592 2.29735 2.36168 2.41996 2.47307 2.52169 2.5664 2.60766 2.64586 2.68131 2.71426 2.74492 2.77347 2.80003 2.82471 2.84757 2.86868 2.88803 2.90564 2.92146 2.93542 2.94743 2.95735 2.96499 2.97011 2.97241 2.97147 2.96682 2.9578 2.94364 2.92334 2.89566 2.8591 2.81189 2.75206 2.67766 2.58728 2.48084 2.3608 
0.294489 0.574641 0.832408 1.06384 1.2684 1.44773 1.60449 1.74169 1.86218 1.96852 2.06292 2.14721 2.22292 2.29131 2.35341 2.41007 2.46199 2.50974 2.5538 2.59456 2.63235 2.66744 2.70004 2.73034 2.75848 2.78455 2.80866 2.83083 2.85111 2.86948 2.8859 2.90032 2.91264 2.9227 2.93034 2.93531 2.93731 2.93595 2.93076 2.92115 2.9064 2.88562 2.85777 2.82163 2.77582 2.71898 2.64992 2.56804 2.47391 2.36992 
0.269017 0.526914 0.767453 0.987041 1.18453 1.36055 1.51672 1.65517 1.77809 1.88755 1.98543 2.07333 2.15265 2.22455 2.29001 2.34985 2.40475 2.45529 2.50194 2.54509 2.58509 2.6222 2.65665 2.68863 2.71829 2.74573 2.77105 2.79429 2.81549 2.83465 2.85173 2.86666 2.87936 2.88969 2.89747 2.90246 2.90438 2.90287 2.89748 2.88769 2.87285 2.8522 2.82487 2.7899 2.74628 2.69308 2.62966 2.55592 2.47271 2.38217 
